"replicate","exp_day","treatment","trait","sub_rep"
1,0,"control",10.4452598325484,"A"
1,0,"control",10.7987939589938,"B"
1,0,"control",10.8622135228789,"C"
1,0,"control",10.8845734729179,"A"
1,0,"control",10.191353090178,"B"
1,0,"control",11.3337483451294,"A"
1,0,"control",10.5740778144433,"A"
1,0,"control",11.1955476797048,"A"
1,0,"control",10.8882083047888,"C"
1,0,"control",10.1936233391743,"C"
1,0,"half",11.4644238662733,"C"
1,0,"half",11.4059453914682,"A"
1,0,"half",10.5712782998647,"C"
1,0,"half",10.473999795825,"B"
1,0,"half",10.6226743369229,"C"
1,0,"half",10.973600712699,"C"
1,0,"half",10.6174213290243,"A"
1,0,"half",10.7316306107865,"A"
1,0,"half",11.4777112932864,"B"
1,0,"half",10.6370222149986,"C"
1,0,"starvation",10.2596667244064,"C"
1,0,"starvation",10.2499898402557,"B"
1,0,"starvation",10.8689793452466,"A"
1,0,"starvation",10.9637850132811,"A"
1,0,"starvation",10.6599074529285,"A"
1,0,"starvation",10.7270213375145,"B"
1,0,"starvation",10.6368494889585,"A"
1,0,"starvation",10.7075357479426,"A"
1,0,"starvation",10.6555045461837,"B"
1,0,"starvation",10.1968754064051,"B"
1,1,"control",11.3198363552686,"A"
1,1,"control",11.6090009765626,"A"
1,1,"control",10.9532041458723,"A"
1,1,"control",11.0138837771062,"A"
1,1,"control",9.91957608436404,"B"
1,1,"control",10.600693774762,"C"
1,1,"control",10.3116958671449,"B"
1,1,"control",10.6236977090703,"C"
1,1,"control",11.1139868367373,"C"
1,1,"control",11.0145970686717,"C"
1,1,"half",10.2004746977884,"B"
1,1,"half",9.77760675556542,"C"
1,1,"half",10.7290210339461,"A"
1,1,"half",10.6791149982646,"A"
1,1,"half",10.72549624669,"A"
1,1,"half",10.7457456584844,"A"
1,1,"half",10.061647664619,"B"
1,1,"half",9.932150649634,"B"
1,1,"half",11.0030697575858,"A"
1,1,"half",11.4712726100072,"A"
1,1,"starvation",10.2249843656796,"C"
1,1,"starvation",9.50752776490664,"B"
1,1,"starvation",9.26010742682682,"B"
1,1,"starvation",9.64342429670425,"B"
1,1,"starvation",10.171143905465,"C"
1,1,"starvation",10.8638784329033,"A"
1,1,"starvation",9.6355544213078,"B"
1,1,"starvation",10.6570427217999,"A"
1,1,"starvation",9.91072139770841,"A"
1,1,"starvation",10.5008781667283,"A"
1,2,"control",10.9175862356563,"A"
1,2,"control",10.3200975678601,"B"
1,2,"control",10.2219364621948,"B"
1,2,"control",10.7979082431278,"A"
1,2,"control",10.2729001588238,"C"
1,2,"control",10.2637463826154,"C"
1,2,"control",11.0117814298269,"A"
1,2,"control",10.4330145784696,"B"
1,2,"control",10.6486483130878,"A"
1,2,"control",10.7044729374894,"B"
1,2,"half",9.68547329254418,"C"
1,2,"half",10.3961943976985,"B"
1,2,"half",9.95632535974367,"B"
1,2,"half",10.1109497324955,"A"
1,2,"half",10.6994057431721,"B"
1,2,"half",10.5014547090735,"B"
1,2,"half",10.4234615391318,"B"
1,2,"half",11.64207804036,"A"
1,2,"half",10.5465195184918,"A"
1,2,"half",9.47553126407935,"C"
1,2,"starvation",9.25973421909723,"A"
1,2,"starvation",8.41946234410582,"B"
1,2,"starvation",8.89797277207121,"A"
1,2,"starvation",9.15459483147227,"C"
1,2,"starvation",9.18243387088781,"A"
1,2,"starvation",8.31577332169751,"C"
1,2,"starvation",8.90986140147122,"A"
1,2,"starvation",9.01018072045416,"A"
1,2,"starvation",8.78170885265555,"B"
1,2,"starvation",8.76915051286359,"B"
1,3,"control",10.2685254296326,"A"
1,3,"control",10.0248848545698,"C"
1,3,"control",10.4404569228205,"A"
1,3,"control",10.4621576797114,"A"
1,3,"control",10.8239927435644,"C"
1,3,"control",11.6961539635777,"A"
1,3,"control",9.89962839702118,"C"
1,3,"control",11.084118452652,"C"
1,3,"control",10.330874283306,"B"
1,3,"control",10.6854826572912,"A"
1,3,"half",11.2607256874586,"A"
1,3,"half",10.6415401246854,"A"
1,3,"half",9.9792457464115,"C"
1,3,"half",10.1972474627192,"B"
1,3,"half",9.90805360093233,"B"
1,3,"half",10.5161424933148,"C"
1,3,"half",10.9894666746056,"A"
1,3,"half",10.3920555957533,"B"
1,3,"half",10.6977552600367,"A"
1,3,"half",9.86701966877938,"B"
1,3,"starvation",8.58654884218313,"B"
1,3,"starvation",9.07316488606781,"A"
1,3,"starvation",9.21968776127483,"A"
1,3,"starvation",9.40431380350641,"C"
1,3,"starvation",9.32343910003618,"C"
1,3,"starvation",9.26098464788877,"A"
1,3,"starvation",8.26277916665718,"B"
1,3,"starvation",9.21696110594865,"A"
1,3,"starvation",7.94603312226149,"C"
1,3,"starvation",8.84147133409872,"A"
1,4,"control",11.5358943512268,"B"
1,4,"control",10.9877675554827,"C"
1,4,"control",11.0128298948467,"B"
1,4,"control",11.4380446217286,"B"
1,4,"control",10.4939659655931,"B"
1,4,"control",11.1751792004786,"A"
1,4,"control",11.652401010914,"A"
1,4,"control",10.4163348720278,"C"
1,4,"control",11.8403879362041,"A"
1,4,"control",11.2375476572546,"C"
1,4,"half",10.1979316512731,"B"
1,4,"half",9.48592522141543,"B"
1,4,"half",10.2191182654236,"C"
1,4,"half",9.9292928875126,"C"
1,4,"half",9.9881121088824,"C"
1,4,"half",10.5042424135797,"A"
1,4,"half",10.7062374155796,"A"
1,4,"half",10.2157088825449,"C"
1,4,"half",10.2971405324374,"B"
1,4,"half",10.0201433867496,"B"
1,4,"starvation",7.53604046266853,"A"
1,4,"starvation",7.35031064952407,"B"
1,4,"starvation",7.17270152430794,"A"
1,4,"starvation",6.59903317430951,"B"
1,4,"starvation",7.40511476234698,"B"
1,4,"starvation",7.482877558816,"C"
1,4,"starvation",8.17341380429959,"A"
1,4,"starvation",7.17075690123059,"C"
1,4,"starvation",7.51842942619486,"C"
1,4,"starvation",6.76245228060859,"B"
1,5,"control",11.3563627508903,"A"
1,5,"control",11.6455870920515,"C"
1,5,"control",10.5899182154567,"B"
1,5,"control",11.1932784547038,"B"
1,5,"control",11.8379952739773,"A"
1,5,"control",11.5123878831306,"C"
1,5,"control",11.4238506608564,"A"
1,5,"control",11.0329440937603,"C"
1,5,"control",11.8140450608352,"A"
1,5,"control",11.1948052202587,"C"
1,5,"half",9.11239928578349,"A"
1,5,"half",9.62648587755618,"A"
1,5,"half",9.61041500720774,"A"
1,5,"half",8.32964775181903,"B"
1,5,"half",9.88323060843915,"A"
1,5,"half",9.10978639039455,"C"
1,5,"half",9.91892594895017,"A"
1,5,"half",9.38004598431336,"C"
1,5,"half",9.37587171841264,"A"
1,5,"half",9.23491487209836,"B"
1,5,"starvation",6.68783853309246,"A"
1,5,"starvation",6.97973455297389,"C"
1,5,"starvation",6.29238385853893,"C"
1,5,"starvation",7.15139744470151,"C"
1,5,"starvation",7.02069657701642,"A"
1,5,"starvation",7.02912908164123,"A"
1,5,"starvation",7.12242168719129,"A"
1,5,"starvation",6.86685563193356,"B"
1,5,"starvation",6.95663533511923,"C"
1,5,"starvation",6.35022202478326,"A"
1,6,"control",10.1393082003539,"A"
1,6,"control",10.2729693794411,"C"
1,6,"control",10.427757217733,"B"
1,6,"control",9.42074136090122,"C"
1,6,"control",9.79170827584419,"C"
1,6,"control",10.0676729870975,"B"
1,6,"control",10.8732315979892,"B"
1,6,"control",10.3560853557574,"C"
1,6,"control",10.0540886816376,"A"
