"replicate","exp_day","treatment","trait"
1,0,"control",11.8624571330848
1,0,"control",12.7261388080486
1,0,"control",12.0938884985219
1,0,"control",11.938144791683
1,0,"control",11.5995549769328
1,0,"control",12.0133509259069
1,0,"control",12.3606175495513
1,0,"control",11.9633918408434
1,0,"control",12.5057666918137
1,0,"control",12.2008495302461
1,0,"half",12.656335453403
1,0,"half",12.4203987304943
1,0,"half",12.2657469746825
1,0,"half",12.4537108796088
1,0,"half",11.9650433086278
1,0,"half",12.0653005054887
1,0,"half",12.1074428724041
1,0,"half",11.843990496969
1,0,"half",11.9107541900441
1,0,"half",12.3217440446826
1,0,"starvation",12.2961443573738
1,0,"starvation",12.7009887914951
1,0,"starvation",11.7771235976279
1,0,"starvation",12.6564400534244
1,0,"starvation",12.6777390436554
1,0,"starvation",12.2988400386214
1,0,"starvation",12.4636578265218
1,0,"starvation",12.1163918054073
1,0,"starvation",12.2376365412897
1,0,"starvation",11.6246334337503
1,1,"control",12.2642915217028
1,1,"control",12.4049427624777
1,1,"control",12.9597858707911
1,1,"control",11.8518726201522
1,1,"control",12.5537369059838
1,1,"control",12.1855776209607
1,1,"control",13.089233439785
1,1,"control",12.6824831072955
1,1,"control",12.4423464600258
1,1,"control",11.7633238519534
1,1,"half",11.5239082641855
1,1,"half",11.6707667475061
1,1,"half",11.7306240782067
1,1,"half",12.0424648021622
1,1,"half",12.2541297640389
1,1,"half",11.4271085709993
1,1,"half",11.567231521638
1,1,"half",11.8323768229355
1,1,"half",12.8109843131638
1,1,"half",12.2397575673109
1,1,"starvation",11.9828995362741
1,1,"starvation",11.6514719339512
1,1,"starvation",11.7344305979201
1,1,"starvation",12.0022910941688
1,1,"starvation",11.7614599200907
1,1,"starvation",12.015901103061
1,1,"starvation",11.3175183923248
1,1,"starvation",10.631394387233
1,1,"starvation",11.639403848614
1,1,"starvation",12.3455296774109
1,2,"control",12.9249490971545
1,2,"control",12.1848412290224
1,2,"control",12.3665693836469
1,2,"control",12.2066833690886
1,2,"control",12.8103484176892
1,2,"control",12.2773800367873
1,2,"control",12.377924427106
1,2,"control",11.9985447096716
1,2,"control",12.2407770659454
1,2,"control",12.30460943032
1,2,"half",12.0616117627684
1,2,"half",11.5789633185045
1,2,"half",12.3963305122334
1,2,"half",11.2431315673266
1,2,"half",11.3827569342243
1,2,"half",12.0229512541824
1,2,"half",11.7667380327957
1,2,"half",11.3327840024894
1,2,"half",12.4166406482328
1,2,"half",12.2535792428368
1,2,"starvation",10.4265281602807
1,2,"starvation",11.2377378891361
1,2,"starvation",11.3704643596003
1,2,"starvation",10.7266376341379
1,2,"starvation",10.570980880202
1,2,"starvation",11.2131975809497
1,2,"starvation",10.6082096209721
1,2,"starvation",10.5787476655196
1,2,"starvation",10.6192451218481
1,2,"starvation",10.744311129218
1,3,"control",13.0584411413125
1,3,"control",11.6150052953103
1,3,"control",12.7272745430987
1,3,"control",11.9267996309027
1,3,"control",12.2873932539408
1,3,"control",12.2124384327023
1,3,"control",11.9121469952252
1,3,"control",12.0378101161404
1,3,"control",12.4763568813218
1,3,"control",12.6992243811436
1,3,"half",11.7614069965535
1,3,"half",11.6353348144384
1,3,"half",11.5117203208518
1,3,"half",10.9977914392556
1,3,"half",11.9619713711151
1,3,"half",11.6100788684661
1,3,"half",11.6848981910068
1,3,"half",11.5659702101266
1,3,"half",11.7527301752836
1,3,"half",12.0412256344436
1,3,"starvation",9.47047013345686
1,3,"starvation",9.67162784102992
1,3,"starvation",9.22221858802857
1,3,"starvation",9.79008182535257
1,3,"starvation",9.57020463274955
1,3,"starvation",10.4985071651571
1,3,"starvation",9.60680806881033
1,3,"starvation",9.56909917523539
1,3,"starvation",9.48730955086479
1,3,"starvation",10.0597461577483
1,4,"control",12.2315742458886
1,4,"control",12.3348136268926
1,4,"control",11.9901465793692
1,4,"control",12.3382194746775
1,4,"control",11.8584060434793
1,4,"control",12.5091651276794
1,4,"control",11.8421771546157
1,4,"control",12.3726801012641
1,4,"control",12.2998126341341
1,4,"control",12.0939337357597
1,4,"half",10.9994903898359
1,4,"half",11.8273496803451
1,4,"half",11.8702112181581
1,4,"half",11.3351473586005
1,4,"half",11.8581861587494
1,4,"half",12.077972726905
1,4,"half",11.5735674920502
1,4,"half",10.9311343234933
1,4,"half",11.3675170277572
1,4,"half",11.8252174367067
1,4,"starvation",9.24851232581751
1,4,"starvation",9.21304386451241
1,4,"starvation",9.5455310330542
1,4,"starvation",9.38229329621505
1,4,"starvation",9.00776348510855
1,4,"starvation",9.33557075257675
1,4,"starvation",8.46967207046788
1,4,"starvation",9.22460925869545
1,4,"starvation",9.15076299977593
1,4,"starvation",9.3930100910637
1,5,"control",12.0151534328992
1,5,"control",12.5644516997689
1,5,"control",12.8875099543552
1,5,"control",12.0956019115191
1,5,"control",12.1900713800056
1,5,"control",12.1787460863217
1,5,"control",12.5031108077626
1,5,"control",12.3717595160912
1,5,"control",11.3910771892366
1,5,"control",12.3298298665021
1,5,"half",11.3576528799388
1,5,"half",11.1042280301492
1,5,"half",11.3981408441778
1,5,"half",11.3374408355213
1,5,"half",11.4003571198459
1,5,"half",11.5388947491267
1,5,"half",11.9711577737906
1,5,"half",11.3084235971352
1,5,"half",10.8765247797572
1,5,"half",11.6189901190633
1,5,"starvation",8.1512005042997
1,5,"starvation",8.39123035384176
1,5,"starvation",8.02183570779119
1,5,"starvation",8.61653421892628
1,5,"starvation",8.49167610570296
1,5,"starvation",8.08042885610014
1,5,"starvation",8.86067007793877
1,5,"starvation",8.44140662478186
1,5,"starvation",8.27481919017849
1,5,"starvation",8.0174162392262
1,6,"control",11.8683252633675
1,6,"control",12.1777898542531
1,6,"control",12.5536439201237
1,6,"control",11.8941352904944
1,6,"control",12.3317929064516
1,6,"control",12.0040033147571
1,6,"control",12.3649335108227
1,6,"control",12.6901605917045
1,6,"control",12.1325047797673
1,6,"control",12.3646675512932
1,6,"half",11.4704664602224
1,6,"half",11.298581757065
1,6,"half",11.5711278947178
1,6,"half",11.6372141955392
1,6,"half",11.0515710318759
1,6,"half",10.904067488847
1,6,"half",10.9445871249821
1,6,"half",11.208775503955
1,6,"half",11.1009018854676
1,6,"half",11.2021525332643
1,6,"starvation",7.48281790569349
1,6,"starvation",7.28322577240342
1,6,"starvation",7.26220633857216
1,6,"starvation",7.94255369881419
1,6,"starvation",7.63040169889733
1,6,"starvation",7.7895169916747
1,6,"starvation",7.3054022102527
1,6,"starvation",7.08951920822837
1,6,"starvation",7.78731412935076
1,6,"starvation",7.33763353481752
1,7,"control",12.805326414877
1,7,"control",12.8260834086944
1,7,"control",11.8993207381878
1,7,"control",12.5916096586745
1,7,"control",12.0281625257171
1,7,"control",11.8587631383511
1,7,"control",12.5311277039641
1,7,"control",12.6075572501489
1,7,"control",12.640436675861
1,7,"control",13.0327551554148
1,7,"half",10.786595260624
1,7,"half",10.4814857432655
1,7,"half",10.3176086373534
1,7,"half",10.6630421675792
1,7,"half",10.3258826044674
1,7,"half",10.4662173938173
1,7,"half",10.9470600045728
1,7,"half",10.7259660505127
1,7,"half",11.2276878477198
1,7,"half",11.0209216045824
